food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,actual_price_r,old_price_s,old_price_l,actual_price_r,actual_price_s,actual-price_l,food_item_category,food_item_parent_category,restaurant_food_item_speciality,restaurant_food_item_availability,AddOns,isAddOns,isCustomizers
COR893,Comissioner,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
DUL627,Dubai Special,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
CHE742,Chocolate on Cafe,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
THR829,The God Father,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
BUL447,Bumbay Special,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,699,,,699,,,EXTRA PREMIUM,HOOKAH SECTION,,TRUE,FALSE,,FALSE
MAA176,Masala Cola,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,109,,,109,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
FRT853,Fresh Lime Soda Salt,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,99,,,99,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
FRT664,Fresh Lime Soda Sweet,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,109,,,109,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
VIO955,Virgin Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,129,,,129,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
STO807,Strawberry Mojito,Prepared to delight your taste buds.,https://static.vecteezy.com/system/resources/previews/003/170/825/non_2x/isolated-food-plate-fork-and-spoon-design-free-vector.jpg,Vegetarian,139,,,139,,,MOCKTAILS & SODAS,DRINKS,,TRUE,FALSE,,FALSE
